backend,task,deepseek,gemini,dual_mean,status
claude_csswitch,da-10-3,1.0000,1.0000,1.0000,ok
claude_csswitch,da-11-1,0.7900,0.8600,0.8250,ok
claude_csswitch,da-12-2,0.6000,0.5200,0.5600,ok
claude_csswitch,da-12-4,1.0000,1.0000,1.0000,ok
claude_csswitch,da-13-1,0.9500,0.9500,0.9500,ok
claude_csswitch,da-13-3,0.8700,0.8700,0.8700,ok
claude_csswitch,da-13-5,0.9000,0.7000,0.8000,ok
claude_csswitch,da-13-6,0.7000,0.6000,0.6500,ok
claude_csswitch,da-14-1,1.0000,1.0000,1.0000,ok
claude_csswitch,da-14-3,0.8500,0.8500,0.8500,ok
claude_csswitch,da-14-8,0.4800,0.4800,0.4800,ok
claude_csswitch,da-15-1,1.0000,1.0000,1.0000,ok
claude_csswitch,da-15-2,0.4200,0.5900,0.5050,ok
claude_csswitch,da-15-7,0.7700,0.7700,0.7700,ok
claude_csswitch,da-15-8,0.8000,0.7000,0.7500,ok
claude_csswitch,da-16-1,0.9000,1.0000,0.9500,ok
claude_csswitch,da-17-1,0.7000,0.7800,0.7400,ok
claude_csswitch,da-17-3,0.7300,0.7300,0.7300,ok
claude_csswitch,da-17-5,0.8200,0.8200,0.8200,ok
claude_csswitch,da-18-1,0.8200,0.8000,0.8100,ok
claude_csswitch,da-18-5,0.5900,0.4300,0.5100,ok
claude_csswitch,da-18-7,0.7500,0.6700,0.7100,ok
claude_csswitch,da-19-1,0.7200,0.7200,0.7200,ok
claude_csswitch,da-19-3,0.4700,0.4700,0.4700,ok
claude_csswitch,da-19-4,0.4500,0.4000,0.4250,ok
claude_csswitch,da-19-6,0.6200,0.7900,0.7050,ok
claude_csswitch,da-20-1,0.3800,0.4300,0.4050,ok
claude_csswitch,da-20-3,0.5600,0.6900,0.6250,ok
claude_csswitch,da-20-4,0.2000,0.1500,0.1750,ok
claude_csswitch,da-24-3,0.2500,0.2000,0.2250,ok
claude_csswitch,da-25-1,0.3900,0.2700,0.3300,ok
claude_csswitch,da-26-2,0.4300,0.4300,0.4300,ok
claude_csswitch,da-26-4,0.4700,0.6400,0.5550,ok
claude_csswitch,da-3-4,1.0000,1.0000,1.0000,ok
claude_csswitch,da-3-5,0.5600,0.7900,0.6750,ok
claude_csswitch,da-4-1,0.6800,0.6800,0.6800,ok
claude_csswitch,da-4-6,0.3800,0.3800,0.3800,ok
claude_csswitch,da-4-7,0.5800,0.6700,0.6250,ok
claude_csswitch,da-5-1,0.6500,0.5000,0.5750,ok
claude_csswitch,da-5-3,0.9500,0.9500,0.9500,ok
claude_csswitch,da-6-2,0.2500,0.2500,0.2500,ok
claude_csswitch,da-6-5,0.7000,0.8400,0.7700,ok
claude_csswitch,da-8-1,0.9000,0.6800,0.7900,ok
claude_csswitch,da-8-2,0.7200,0.7700,0.7450,ok
claude_csswitch,da-8-3,0.6300,0.7700,0.7000,ok
claude_csswitch,da-9-1,0.4900,0.4900,0.4900,ok
claude_csswitch,da-9-7,0.6900,0.7900,0.7400,ok
evoscientist,da-1-3,0.8400,0.8400,0.8400,ok
evoscientist,da-1-4,0.8600,0.8600,0.8600,ok
evoscientist,da-10-1,0.6000,0.6000,0.6000,ok
evoscientist,da-10-3,0.8600,0.8600,0.8600,ok
evoscientist,da-11-1,0.6800,0.6800,0.6800,ok
evoscientist,da-12-2,0.6000,0.5200,0.5600,ok
evoscientist,da-12-4,1.0000,1.0000,1.0000,ok
evoscientist,da-13-1,1.0000,1.0000,1.0000,ok
evoscientist,da-13-3,1.0000,1.0000,1.0000,ok
evoscientist,da-13-5,0.4000,0.5000,0.4500,ok
evoscientist,da-13-6,0.8000,0.8000,0.8000,ok
evoscientist,da-14-1,0.8000,0.7300,0.7650,ok
evoscientist,da-14-3,1.0000,1.0000,1.0000,ok
evoscientist,da-14-8,0.5500,0.4800,0.5150,ok
evoscientist,da-15-1,0.7700,0.6500,0.7100,ok
evoscientist,da-15-2,0.3100,0.2600,0.2850,ok
evoscientist,da-15-7,0.6700,0.6700,0.6700,ok
evoscientist,da-15-8,0.7000,0.8000,0.7500,ok
evoscientist,da-16-1,0.8500,0.7700,0.8100,ok
evoscientist,da-17-1,0.7800,0.7800,0.7800,ok
evoscientist,da-17-3,0.6500,0.7300,0.6900,ok
evoscientist,da-17-5,0.9200,0.9000,0.9100,ok
evoscientist,da-18-1,0.7200,0.8000,0.7600,ok
evoscientist,da-18-5,0.2700,0.1900,0.2300,ok
evoscientist,da-18-7,0.8000,0.5200,0.6600,ok
evoscientist,da-19-1,0.7500,0.8400,0.7950,ok
evoscientist,da-19-3,0.6000,0.4700,0.5350,ok
evoscientist,da-19-4,0.3500,0.3000,0.3250,ok
evoscientist,da-19-6,0.8700,0.7900,0.8300,ok
evoscientist,da-20-1,0.3100,0.2300,0.2700,ok
evoscientist,da-20-3,0.5400,0.4600,0.5000,ok
evoscientist,da-20-4,0.1500,0.1000,0.1250,ok
evoscientist,da-24-3,0.2000,0.2000,0.2000,ok
evoscientist,da-25-1,0.7000,0.6400,0.6700,ok
evoscientist,da-26-2,0.3500,0.3500,0.3500,ok
evoscientist,da-26-4,0.5400,0.5700,0.5550,ok
evoscientist,da-3-4,1.0000,1.0000,1.0000,ok
evoscientist,da-3-5,0.6600,1.0000,0.8300,ok
evoscientist,da-4-1,0.5200,0.6100,0.5650,ok
evoscientist,da-4-6,0.5800,0.5800,0.5800,ok
evoscientist,da-4-7,0.5100,0.5800,0.5450,ok
evoscientist,da-5-1,0.8800,0.7900,0.8350,ok
evoscientist,da-5-3,0.8200,0.8200,0.8200,ok
evoscientist,da-6-2,0.2500,0.5200,0.3850,ok
evoscientist,da-6-5,0.6400,0.7400,0.6900,ok
evoscientist,da-8-1,0.9200,0.7100,0.8150,ok
evoscientist,da-8-2,0.3700,0.5900,0.4800,ok
evoscientist,da-8-3,0.5500,0.5600,0.5550,ok
evoscientist,da-9-1,0.5600,0.6600,0.6100,ok
evoscientist,da-9-7,0.5800,0.5800,0.5800,ok
omicos,da-1-3,0.8400,0.8900,0.8650,ok
omicos,da-1-4,0.8000,0.8000,0.8000,ok
omicos,da-10-1,0.7700,0.8300,0.8000,ok
omicos,da-10-3,0.8900,1.0000,0.9450,ok
omicos,da-11-1,0.7300,0.8600,0.7950,ok
omicos,da-12-2,0.6500,0.6500,0.6500,ok
omicos,da-12-4,0.8600,1.0000,0.9300,ok
omicos,da-13-1,1.0000,1.0000,1.0000,ok
omicos,da-13-3,1.0000,1.0000,1.0000,ok
omicos,da-13-5,0.6000,0.7000,0.6500,ok
omicos,da-13-6,0.9000,0.8000,0.8500,ok
omicos,da-14-1,1.0000,1.0000,1.0000,ok
omicos,da-14-3,1.0000,1.0000,1.0000,ok
omicos,da-14-8,1.0000,1.0000,1.0000,ok
omicos,da-15-1,1.0000,1.0000,1.0000,ok
omicos,da-15-2,0.5600,0.7300,0.6450,ok
omicos,da-15-7,0.9000,0.6700,0.7850,ok
omicos,da-15-8,0.6300,0.9000,0.7650,ok
omicos,da-16-1,1.0000,1.0000,1.0000,ok
omicos,da-17-1,0.7800,0.6100,0.6950,ok
omicos,da-17-3,0.9200,0.9200,0.9200,ok
omicos,da-17-5,0.9000,1.0000,0.9500,ok
omicos,da-18-1,0.8200,0.7200,0.7700,ok
omicos,da-18-5,0.8200,0.6600,0.7400,ok
omicos,da-18-7,0.6700,0.7500,0.7100,ok
omicos,da-19-1,0.6200,0.7600,0.6900,ok
omicos,da-19-3,0.8500,0.8500,0.8500,ok
omicos,da-19-4,0.6500,0.6500,0.6500,ok
omicos,da-19-6,0.7900,0.8700,0.8300,ok
omicos,da-20-1,0.4600,0.2800,0.3700,ok
omicos,da-20-3,0.8800,0.8300,0.8550,ok
omicos,da-20-4,0.2800,0.2800,0.2800,ok
omicos,da-24-3,0.7500,0.4500,0.6000,ok
omicos,da-25-1,0.7200,0.5600,0.6400,ok
omicos,da-26-2,0.8700,0.8700,0.8700,ok
omicos,da-26-4,0.5300,0.6900,0.6100,ok
omicos,da-3-4,0.8900,1.0000,0.9450,ok
omicos,da-3-5,0.8700,1.0000,0.9350,ok
omicos,da-4-1,0.8600,0.6600,0.7600,ok
omicos,da-4-6,0.8200,0.5800,0.7000,ok
omicos,da-4-7,0.5100,0.5100,0.5100,ok
omicos,da-5-1,0.7700,0.5900,0.6800,ok
omicos,da-5-3,0.7000,0.8200,0.7600,ok
omicos,da-6-2,0.3500,0.3500,0.3500,ok
omicos,da-6-5,0.7000,0.8400,0.7700,ok
omicos,da-8-1,0.9100,0.7600,0.8350,ok
omicos,da-8-2,0.7200,0.4900,0.6050,ok
omicos,da-8-3,0.6400,0.6500,0.6450,ok
omicos,da-9-1,0.6900,0.5900,0.6400,ok
omicos,da-9-7,0.7600,0.8600,0.8100,ok
openscience_ai4s,da-1-3,0.0000,0.8900,0.4450,ok
openscience_ai4s,da-1-4,0.7900,0.8300,0.8100,ok
openscience_ai4s,da-10-1,0.4000,0.4000,0.4000,ok
openscience_ai4s,da-10-3,1.0000,1.0000,1.0000,ok
openscience_ai4s,da-11-1,0.5400,0.6100,0.5750,ok
openscience_ai4s,da-12-2,0.5500,0.5200,0.5350,ok
openscience_ai4s,da-12-4,0.8600,0.8600,0.8600,ok
openscience_ai4s,da-13-1,1.0000,1.0000,1.0000,ok
openscience_ai4s,da-13-3,1.0000,1.0000,1.0000,ok
openscience_ai4s,da-13-5,0.6000,0.6000,0.6000,ok
openscience_ai4s,da-13-6,0.5000,0.5000,0.5000,ok
openscience_ai4s,da-14-1,0.9000,1.0000,0.9500,ok
openscience_ai4s,da-14-3,0.7100,0.7100,0.7100,ok
openscience_ai4s,da-14-8,0.6800,0.8500,0.7650,ok
openscience_ai4s,da-15-1,1.0000,1.0000,1.0000,ok
openscience_ai4s,da-15-2,0.3900,0.4300,0.4100,ok
openscience_ai4s,da-15-7,0.7700,0.7000,0.7350,ok
openscience_ai4s,da-15-8,0.7000,0.6000,0.6500,ok
openscience_ai4s,da-16-1,0.8200,0.9300,0.8750,ok
openscience_ai4s,da-17-1,0.7800,0.7800,0.7800,ok
openscience_ai4s,da-17-3,0.7300,0.7300,0.7300,ok
openscience_ai4s,da-17-5,0.9000,0.9000,0.9000,ok
openscience_ai4s,da-18-1,0.8000,0.8200,0.8100,ok
openscience_ai4s,da-18-5,0.4400,0.3600,0.4000,ok
openscience_ai4s,da-18-7,0.6700,0.5200,0.5950,ok
openscience_ai4s,da-19-1,0.5800,0.5500,0.5650,ok
openscience_ai4s,da-19-3,0.6200,0.6200,0.6200,ok
openscience_ai4s,da-19-4,0.3000,0.3000,0.3000,ok
openscience_ai4s,da-19-6,0.4200,0.6600,0.5400,ok
openscience_ai4s,da-20-1,0.4100,0.3300,0.3700,ok
openscience_ai4s,da-20-3,0.8100,0.7600,0.7850,ok
openscience_ai4s,da-20-4,0.0500,0.0000,0.0250,ok
openscience_ai4s,da-24-3,0.2000,0.0500,0.1250,ok
openscience_ai4s,da-25-1,0.3600,0.4700,0.4150,ok
openscience_ai4s,da-26-2,0.3500,0.4300,0.3900,ok
openscience_ai4s,da-26-4,0.0000,0.0000,0.0000,no_output
openscience_ai4s,da-3-4,1.0000,1.0000,1.0000,ok
openscience_ai4s,da-3-5,0.7200,0.7200,0.7200,ok
openscience_ai4s,da-4-1,0.5200,0.5200,0.5200,ok
openscience_ai4s,da-4-6,0.5800,0.5800,0.5800,ok
openscience_ai4s,da-4-7,0.8300,0.8300,0.8300,ok
openscience_ai4s,da-5-1,0.7700,0.6800,0.7250,ok
openscience_ai4s,da-5-3,0.7000,0.7000,0.7000,ok
openscience_ai4s,da-6-2,0.3000,0.3700,0.3350,ok
openscience_ai4s,da-6-5,0.6700,0.5100,0.5900,ok
openscience_ai4s,da-8-1,0.8400,0.6200,0.7300,ok
openscience_ai4s,da-8-2,0.2700,0.2700,0.2700,ok
openscience_ai4s,da-8-3,0.5400,0.5000,0.5200,ok
openscience_ai4s,da-9-1,0.4800,0.6100,0.5450,ok
openscience_ai4s,da-9-7,0.7200,0.9300,0.8250,ok
openscience_synsci,da-1-3,0.8200,0.7700,0.7950,ok
openscience_synsci,da-1-4,0.8600,0.9000,0.8800,ok
openscience_synsci,da-10-1,0.3700,0.4600,0.4150,ok
openscience_synsci,da-10-3,1.0000,1.0000,1.0000,ok
openscience_synsci,da-11-1,0.6800,0.6100,0.6450,ok
openscience_synsci,da-12-2,0.6000,0.5200,0.5600,ok
openscience_synsci,da-12-4,0.5700,0.5700,0.5700,ok
openscience_synsci,da-13-1,1.0000,1.0000,1.0000,ok
openscience_synsci,da-13-3,1.0000,1.0000,1.0000,ok
openscience_synsci,da-13-5,0.2000,0.3000,0.2500,ok
openscience_synsci,da-13-6,0.8000,0.8000,0.8000,ok
openscience_synsci,da-14-1,0.9000,1.0000,0.9500,ok
openscience_synsci,da-14-3,0.7300,0.4500,0.5900,ok
openscience_synsci,da-14-8,0.5800,0.6800,0.6300,ok
openscience_synsci,da-15-1,0.8000,0.9000,0.8500,ok
openscience_synsci,da-15-2,0.2600,0.2600,0.2600,ok
openscience_synsci,da-15-7,0.7700,0.6700,0.7200,ok
openscience_synsci,da-15-8,0.8000,0.6300,0.7150,ok
openscience_synsci,da-16-1,0.7700,0.8500,0.8100,ok
openscience_synsci,da-17-1,0.8400,0.8400,0.8400,ok
openscience_synsci,da-17-3,0.7300,0.7300,0.7300,ok
openscience_synsci,da-17-5,0.8000,0.8000,0.8000,ok
openscience_synsci,da-18-1,0.8200,0.7200,0.7700,ok
openscience_synsci,da-18-5,0.4900,0.0700,0.2800,ok
openscience_synsci,da-18-7,0.6500,0.6500,0.6500,ok
openscience_synsci,da-19-1,0.9100,0.9500,0.9300,ok
openscience_synsci,da-19-3,0.5700,0.5700,0.5700,ok
openscience_synsci,da-19-4,0.3000,0.3000,0.3000,ok
openscience_synsci,da-19-6,0.4200,0.7900,0.6050,ok
openscience_synsci,da-20-1,0.5100,0.4300,0.4700,ok
openscience_synsci,da-20-3,0.8100,0.6200,0.7150,ok
openscience_synsci,da-20-4,0.1000,0.0000,0.0500,ok
openscience_synsci,da-24-3,0.2000,0.2000,0.2000,ok
openscience_synsci,da-25-1,0.6200,0.6400,0.6300,ok
openscience_synsci,da-26-2,0.3800,0.3800,0.3800,ok
openscience_synsci,da-26-4,0.7100,0.5400,0.6250,ok
openscience_synsci,da-3-4,1.0000,1.0000,1.0000,ok
openscience_synsci,da-3-5,0.7700,1.0000,0.8850,ok
openscience_synsci,da-4-1,0.5200,0.6100,0.5650,ok
openscience_synsci,da-4-6,0.5800,0.5800,0.5800,ok
openscience_synsci,da-4-7,0.6700,0.5800,0.6250,ok
openscience_synsci,da-5-1,0.3400,0.3400,0.3400,ok
openscience_synsci,da-5-3,0.7400,0.8200,0.7800,ok
openscience_synsci,da-6-2,0.2500,0.2000,0.2250,ok
openscience_synsci,da-6-5,0.0700,0.3100,0.1900,ok
openscience_synsci,da-8-1,0.7200,0.7200,0.7200,ok
openscience_synsci,da-8-2,0.6400,0.4900,0.5650,ok
openscience_synsci,da-8-3,0.6400,0.6800,0.6600,ok
openscience_synsci,da-9-1,0.4900,0.5900,0.5400,ok
openscience_synsci,da-9-7,0.5800,0.5800,0.5800,ok
wisp,da-1-3,0.8100,0.8700,0.8400,ok
wisp,da-1-4,0.9400,0.9000,0.9200,ok
wisp,da-10-1,0.4200,0.6600,0.5400,ok
wisp,da-10-3,1.0000,1.0000,1.0000,ok
wisp,da-11-1,0.5500,0.4900,0.5200,ok
wisp,da-12-2,0.5200,0.5200,0.5200,ok
wisp,da-12-4,0.7300,0.7300,0.7300,ok
wisp,da-13-1,0.9500,0.9500,0.9500,ok
wisp,da-13-3,0.8700,0.8700,0.8700,ok
wisp,da-13-5,0.5000,0.5000,0.5000,ok
wisp,da-13-6,0.5000,0.5000,0.5000,ok
wisp,da-14-1,0.8000,0.9000,0.8500,ok
wisp,da-14-3,1.0000,0.8500,0.9250,ok
wisp,da-14-8,0.6600,0.8300,0.7450,ok
wisp,da-15-1,0.6700,0.5700,0.6200,ok
wisp,da-15-2,0.0000,0.0000,0.0000,no_output
wisp,da-15-7,0.7700,0.7700,0.7700,ok
wisp,da-15-8,0.7000,0.7000,0.7000,ok
wisp,da-16-1,0.8500,0.8500,0.8500,ok
wisp,da-17-1,0.7800,0.7800,0.7800,ok
wisp,da-17-3,0.6400,0.8300,0.7350,ok
wisp,da-17-5,0.9000,0.8000,0.8500,ok
wisp,da-18-1,0.0000,0.0000,0.0000,no_output
wisp,da-18-5,0.5100,0.5900,0.5500,ok
wisp,da-18-7,0.7500,0.9000,0.8250,ok
wisp,da-19-1,0.8000,0.8000,0.8000,ok
wisp,da-19-3,0.5200,0.7500,0.6350,ok
wisp,da-19-4,0.3000,0.3000,0.3000,ok
wisp,da-19-6,0.6200,0.4200,0.5200,ok
wisp,da-20-1,0.1800,0.3300,0.2550,ok
wisp,da-20-3,0.1300,0.2800,0.2050,ok
wisp,da-20-4,0.0000,0.1000,0.0500,ok
wisp,da-24-3,0.2000,0.2000,0.2000,ok
wisp,da-25-1,0.6300,0.3800,0.5050,ok
wisp,da-26-2,0.3500,0.3500,0.3500,ok
wisp,da-26-4,0.4700,0.4700,0.4700,ok
wisp,da-3-4,1.0000,1.0000,1.0000,ok
wisp,da-3-5,1.0000,1.0000,1.0000,ok
wisp,da-4-1,0.7900,0.7900,0.7900,ok
wisp,da-4-6,0.3800,0.3800,0.3800,ok
wisp,da-4-7,0.6700,0.5800,0.6250,ok
wisp,da-5-1,0.5500,0.5600,0.5550,ok
wisp,da-5-3,0.9500,0.8500,0.9000,ok
wisp,da-6-2,0.0000,0.0000,0.0000,no_output
wisp,da-6-5,0.9200,0.9200,0.9200,ok
wisp,da-8-1,0.8600,0.9400,0.9000,ok
wisp,da-8-2,0.4900,0.4900,0.4900,ok
wisp,da-8-3,0.4600,0.5300,0.4950,ok
wisp,da-9-1,0.3600,0.3600,0.3600,ok
wisp,da-9-7,0.8600,0.7600,0.8100,ok
